episode_id,environment_complexity,num_robots,num_tasks,task_dependency_level,obstacle_density,initial_position,target_position,path_length,collisions,energy_consumption,time_taken,task_completion_rate,reward_score,po_tsatd3_action,navigation_efficiency,scheduling_efficiency,overall_performance_score
13,low,1,13,sequential,0.73,"(14, 22)","(97, 88)",74.09,1,61.81,206.62,98.46,89.33,increase_exploration,1.431,0.985,103.69
14,medium,1,14,interdependent,0.4,"(30, 27)","(64, 96)",66.69,4,224.89,285.78,90.31,64.59,optimize_schedule,1.153,0.903,79.02
15,medium,3,17,interdependent,0.18,"(32, 33)","(59, 76)",135.01,2,156.83,190.1,63.98,50.18,increase_exploration,0.376,0.64,67.02
16,medium,4,7,independent,0.71,"(1, 48)","(91, 99)",168.18,3,136.73,403.71,86.48,63.41,adjust_learning_rate,0.615,0.865,71.78
17,medium,3,6,interdependent,0.38,"(23, 32)","(62, 74)",131.66,2,115.29,488.9,60.74,40.96,increase_exploration,0.435,0.607,67.6
18,high,5,14,sequential,0.25,"(22, 25)","(50, 80)",168.54,1,141.01,104.54,98.52,91.43,optimize_schedule,0.366,0.985,80.02
19,high,4,15,independent,0.55,"(20, 18)","(60, 63)",99.67,2,119.9,266.07,94.25,78.93,adjust_learning_rate,0.604,0.943,78.82
20,medium,3,16,independent,0.74,"(40, 15)","(54, 100)",57.09,1,136.86,239.87,74.36,64.56,optimize_schedule,1.509,0.744,100.07
21,high,1,5,independent,0.44,"(18, 3)","(95, 90)",129.27,2,244.76,349.99,60.71,43.71,increase_exploration,0.899,0.607,77.91
22,high,2,18,independent,0.52,"(30, 38)","(74, 54)",81.37,5,164.13,418.82,94.78,61.4,adjust_learning_rate,0.575,0.948,61.62
23,medium,5,13,interdependent,0.14,"(8, 23)","(63, 75)",124.48,4,175.85,372.64,71.28,43.83,adjust_learning_rate,0.608,0.713,62.69
24,medium,3,16,sequential,0.16,"(3, 9)","(80, 97)",164.0,1,227.35,379.37,98.48,85.89,adjust_learning_rate,0.713,0.985,87.73
25,high,4,17,interdependent,0.69,"(8, 17)","(77, 87)",149.67,5,276.36,261.65,88.62,58.39,optimize_schedule,0.657,0.886,62.07
26,low,4,15,independent,0.16,"(19, 31)","(80, 52)",89.12,2,211.22,362.32,86.86,69.61,optimize_schedule,0.724,0.869,79.84
27,high,3,11,interdependent,0.53,"(7, 14)","(54, 69)",129.37,4,90.43,288.82,83.48,57.7,optimize_schedule,0.559,0.835,64.31
28,low,5,5,independent,0.32,"(4, 17)","(74, 78)",126.68,3,279.55,456.34,65.1,40.97,optimize_schedule,0.733,0.651,69.64
29,low,2,6,sequential,0.53,"(31, 23)","(60, 50)",79.62,3,236.17,474.74,67.41,42.92,optimize_schedule,0.498,0.674,64.93
30,high,2,14,interdependent,0.45,"(37, 39)","(84, 51)",55.59,4,97.34,235.73,61.93,37.22,optimize_schedule,0.873,0.619,66.49
31,low,1,18,interdependent,0.75,"(49, 31)","(50, 54)",128.55,2,109.61,366.15,77.68,60.36,increase_exploration,0.179,0.777,65.69
32,high,2,11,interdependent,0.37,"(50, 15)","(88, 98)",105.97,2,183.51,183.31,78.0,64.33,optimize_schedule,0.861,0.78,80.91
33,medium,3,7,interdependent,0.16,"(27, 10)","(55, 94)",84.79,0,217.33,475.56,70.72,61.21,increase_exploration,1.044,0.707,94.47
34,high,3,5,independent,0.66,"(31, 19)","(87, 89)",183.84,4,266.11,119.28,89.22,66.83,adjust_learning_rate,0.488,0.892,64.0
35,high,5,11,independent,0.64,"(47, 49)","(68, 71)",133.25,2,213.97,452.16,87.34,68.3,adjust_learning_rate,0.228,0.873,68.91
36,high,3,10,sequential,0.38,"(6, 19)","(78, 98)",135.51,1,188.03,452.33,66.62,52.57,optimize_schedule,0.789,0.666,82.33
37,low,5,17,interdependent,0.49,"(23, 46)","(90, 72)",87.58,0,299.53,350.32,65.09,58.08,increase_exploration,0.821,0.651,88.27
38,medium,3,17,independent,0.23,"(45, 4)","(52, 74)",55.37,4,62.83,133.25,93.66,70.99,increase_exploration,1.271,0.937,82.4
39,medium,4,10,independent,0.76,"(28, 9)","(72, 54)",110.05,0,179.34,242.17,96.54,91.7,optimize_schedule,0.572,0.965,89.71
40,high,1,8,interdependent,0.34,"(21, 18)","(72, 55)",123.8,1,198.42,421.16,76.55,63.13,adjust_learning_rate,0.509,0.765,78.31
41,low,3,8,sequential,0.4,"(47, 42)","(97, 100)",196.76,4,175.35,391.08,67.34,39.52,optimize_schedule,0.389,0.673,56.93
42,medium,2,9,sequential,0.26,"(38, 50)","(81, 51)",169.13,1,150.77,493.32,61.75,46.88,adjust_learning_rate,0.254,0.618,69.38
43,medium,3,8,sequential,0.59,"(34, 50)","(99, 51)",158.52,2,202.83,392.26,93.1,75.25,adjust_learning_rate,0.41,0.931,74.24
44,medium,2,18,independent,0.77,"(5, 11)","(92, 79)",50.4,1,99.54,256.5,67.67,57.54,optimize_schedule,2.191,0.677,113.73
45,high,3,18,independent,0.14,"(28, 3)","(82, 68)",59.51,3,184.5,106.44,94.23,77.1,increase_exploration,1.42,0.942,91.38
46,high,4,17,independent,0.75,"(29, 10)","(77, 66)",73.25,0,247.72,196.78,87.92,83.98,optimize_schedule,1.007,0.879,97.47
47,low,2,17,independent,0.17,"(10, 13)","(56, 63)",176.09,4,199.62,394.48,87.72,59.83,increase_exploration,0.386,0.877,61.4
48,low,5,12,sequential,0.68,"(23, 10)","(89, 76)",120.29,4,54.22,416.68,95.2,66.87,increase_exploration,0.776,0.952,71.73
49,low,1,17,independent,0.41,"(40, 2)","(79, 54)",135.56,0,61.51,356.58,61.11,53.98,optimize_schedule,0.479,0.611,79.78
50,low,2,18,interdependent,0.1,"(1, 14)","(54, 85)",181.03,2,51.31,355.57,91.04,73.93,adjust_learning_rate,0.489,0.91,75.53
51,high,4,16,sequential,0.42,"(4, 47)","(84, 70)",53.25,4,220.96,149.1,72.22,49.24,increase_exploration,1.563,0.722,84.11
52,high,4,8,independent,0.54,"(18, 17)","(82, 96)",156.89,0,97.37,316.41,70.22,63.89,adjust_learning_rate,0.648,0.702,85.56
53,medium,5,9,sequential,0.47,"(43, 19)","(91, 92)",69.38,1,248.77,142.27,64.58,56.73,optimize_schedule,1.259,0.646,92.33
54,medium,2,12,independent,0.67,"(18, 0)","(80, 64)",187.84,0,140.82,408.15,85.98,77.82,optimize_schedule,0.474,0.86,85.2
55,low,3,7,interdependent,0.24,"(21, 11)","(74, 75)",158.29,1,219.52,125.92,87.76,80.24,adjust_learning_rate,0.525,0.878,81.18
56,low,4,5,interdependent,0.51,"(11, 37)","(54, 83)",70.87,2,239.32,356.62,90.56,73.43,adjust_learning_rate,0.889,0.906,84.33
57,medium,2,14,interdependent,0.32,"(10, 37)","(97, 92)",189.73,0,197.89,148.21,94.99,92.03,increase_exploration,0.542,0.95,88.71
58,medium,5,12,independent,0.55,"(24, 12)","(65, 77)",184.58,5,163.54,101.0,65.62,38.6,optimize_schedule,0.416,0.656,51.6
59,medium,4,10,independent,0.6,"(21, 42)","(51, 93)",59.06,5,252.68,222.72,65.45,36.0,increase_exploration,1.002,0.655,64.6
60,low,3,13,independent,0.54,"(44, 8)","(69, 81)",74.62,3,252.3,382.43,70.04,47.39,optimize_schedule,1.034,0.7,77.42
61,low,4,20,interdependent,0.79,"(19, 39)","(85, 63)",190.94,1,242.1,186.52,91.7,82.97,increase_exploration,0.368,0.917,78.56
62,high,1,15,independent,0.31,"(3, 22)","(61, 90)",196.84,5,159.02,111.39,98.11,70.88,adjust_learning_rate,0.454,0.981,59.67
63,high,2,7,sequential,0.6,"(27, 11)","(64, 76)",192.84,3,88.63,201.14,70.91,51.89,optimize_schedule,0.388,0.709,63.27
64,high,1,5,sequential,0.79,"(12, 42)","(51, 68)",59.22,1,258.0,131.21,75.73,68.11,optimize_schedule,0.791,0.757,84.4
65,low,4,15,sequential,0.37,"(12, 40)","(71, 77)",55.28,5,206.55,349.04,80.25,48.27,optimize_schedule,1.26,0.802,73.6
66,medium,1,13,sequential,0.48,"(33, 11)","(85, 62)",140.45,1,250.07,265.7,70.73,60.42,adjust_learning_rate,0.519,0.707,77.24
67,high,2,15,interdependent,0.65,"(2, 23)","(66, 64)",87.64,3,138.43,344.74,63.83,41.94,adjust_learning_rate,0.867,0.638,72.33
68,low,3,14,interdependent,0.24,"(39, 0)","(74, 86)",129.61,4,57.06,227.85,93.52,68.96,optimize_schedule,0.716,0.935,70.02
69,low,5,7,independent,0.67,"(23, 31)","(70, 85)",198.54,0,57.07,489.96,85.1,75.3,increase_exploration,0.361,0.851,82.49
70,low,4,5,interdependent,0.4,"(44, 22)","(86, 77)",129.43,3,269.99,293.73,92.91,72.04,increase_exploration,0.535,0.929,71.42
71,high,2,9,sequential,0.58,"(24, 15)","(99, 77)",197.88,3,282.88,182.32,64.38,45.73,adjust_learning_rate,0.492,0.644,64.13
72,medium,4,17,interdependent,0.11,"(30, 48)","(69, 88)",135.53,0,71.45,421.41,60.54,52.11,adjust_learning_rate,0.412,0.605,78.16
73,high,1,9,independent,0.15,"(13, 36)","(81, 98)",64.52,0,67.88,448.19,64.77,55.81,increase_exploration,1.426,0.648,101.64
74,high,4,15,sequential,0.51,"(38, 27)","(86, 68)",67.88,2,81.55,302.13,98.18,82.14,optimize_schedule,0.93,0.982,86.93
75,low,2,13,independent,0.46,"(21, 3)","(92, 61)",92.06,3,75.25,145.03,79.4,61.5,optimize_schedule,0.996,0.794,78.67
76,high,3,13,interdependent,0.7,"(29, 6)","(70, 87)",54.98,5,277.35,343.95,83.83,51.95,optimize_schedule,1.651,0.838,83.09
77,high,2,12,interdependent,0.53,"(16, 40)","(79, 52)",98.18,4,280.24,250.97,89.82,64.8,increase_exploration,0.653,0.898,67.8
78,medium,4,16,independent,0.56,"(33, 49)","(67, 89)",76.64,5,256.15,487.49,92.15,57.4,adjust_learning_rate,0.685,0.922,63.49
79,low,3,20,interdependent,0.74,"(14, 49)","(66, 52)",62.73,0,76.8,233.33,80.28,75.61,increase_exploration,0.83,0.803,91.84
80,low,2,16,interdependent,0.44,"(17, 42)","(62, 79)",66.04,4,149.52,406.47,84.11,55.98,adjust_learning_rate,0.882,0.841,71.62
81,medium,3,20,sequential,0.73,"(2, 2)","(53, 84)",97.91,3,59.84,422.16,67.91,44.47,increase_exploration,0.986,0.679,75.89
82,low,2,16,sequential,0.27,"(28, 47)","(59, 89)",185.64,4,264.33,314.67,75.41,49.12,optimize_schedule,0.281,0.754,56.33
83,high,5,19,independent,0.22,"(18, 42)","(66, 56)",79.25,3,189.39,393.69,88.88,66.01,adjust_learning_rate,0.631,0.889,72.67
84,low,5,12,interdependent,0.44,"(33, 35)","(87, 50)",130.51,4,171.73,381.33,98.91,71.28,adjust_learning_rate,0.429,0.989,64.84
85,high,3,9,interdependent,0.47,"(10, 26)","(61, 98)",178.81,2,234.09,112.42,84.63,72.38,increase_exploration,0.493,0.846,74.2
86,low,4,11,independent,0.22,"(2, 49)","(67, 50)",94.79,1,286.09,453.06,61.61,47.55,optimize_schedule,0.686,0.616,78.93
87,medium,5,7,interdependent,0.18,"(40, 5)","(95, 53)",62.14,3,90.27,282.65,97.76,77.11,increase_exploration,1.175,0.978,86.73
88,high,2,15,independent,0.12,"(17, 2)","(64, 58)",174.73,4,221.27,169.89,98.26,74.86,adjust_learning_rate,0.418,0.983,64.47
89,medium,4,10,interdependent,0.73,"(11, 24)","(62, 97)",147.77,5,220.17,270.81,69.42,39.0,optimize_schedule,0.603,0.694,56.6
90,medium,4,7,independent,0.38,"(13, 11)","(72, 50)",131.47,0,58.93,369.24,78.95,71.57,increase_exploration,0.538,0.789,85.04
91,medium,4,8,interdependent,0.79,"(43, 16)","(60, 85)",82.68,5,203.07,365.13,81.91,49.61,increase_exploration,0.859,0.819,65.07
92,low,3,11,independent,0.55,"(25, 18)","(64, 63)",159.31,1,178.65,265.78,92.09,81.77,optimize_schedule,0.374,0.921,78.78
93,medium,3,8,independent,0.42,"(2, 50)","(58, 84)",156.95,2,158.27,312.11,71.65,55.41,optimize_schedule,0.417,0.717,69.64
94,low,2,19,sequential,0.6,"(32, 19)","(68, 54)",67.97,4,292.96,329.82,64.65,38.05,adjust_learning_rate,0.739,0.647,64.13
95,low,1,11,interdependent,0.18,"(48, 9)","(58, 78)",73.57,2,117.82,218.85,74.66,60.28,optimize_schedule,0.948,0.747,82.11
96,high,5,8,sequential,0.13,"(37, 8)","(76, 69)",127.52,0,288.23,316.7,83.26,76.93,optimize_schedule,0.568,0.833,86.69
97,high,1,14,interdependent,0.61,"(38, 32)","(52, 52)",149.9,3,90.75,152.98,77.77,59.71,increase_exploration,0.163,0.778,59.8
98,low,4,15,interdependent,0.35,"(47, 44)","(67, 88)",180.04,4,97.94,468.22,72.42,43.06,optimize_schedule,0.268,0.724,55.38
99,low,5,10,independent,0.66,"(22, 45)","(89, 89)",98.22,1,191.9,291.04,66.96,56.14,optimize_schedule,0.816,0.67,83.02
100,high,5,20,interdependent,0.62,"(1, 4)","(75, 65)",136.51,1,275.7,157.92,62.32,54.16,increase_exploration,0.703,0.623,79.47
101,high,4,10,sequential,0.74,"(20, 48)","(54, 78)",166.58,4,160.38,489.46,83.87,54.08,adjust_learning_rate,0.272,0.839,58.02
102,low,3,6,interdependent,0.77,"(40, 48)","(87, 90)",65.37,1,287.01,264.24,78.56,68.28,optimize_schedule,0.964,0.786,88.89
103,high,1,16,independent,0.58,"(10, 21)","(99, 93)",68.29,3,261.28,386.84,79.09,56.35,adjust_learning_rate,1.676,0.791,93.71
104,medium,1,11,interdependent,0.33,"(24, 2)","(71, 99)",139.58,4,166.99,293.63,63.24,37.37,adjust_learning_rate,0.772,0.632,64.53
105,high,2,13,independent,0.48,"(41, 26)","(81, 54)",112.27,0,224.52,489.41,89.68,79.89,adjust_learning_rate,0.435,0.897,85.16
106,medium,2,19,interdependent,0.25,"(50, 23)","(73, 66)",119.64,0,238.11,246.87,77.59,72.65,optimize_schedule,0.408,0.776,81.87
107,medium,4,8,independent,0.5,"(40, 2)","(86, 70)",158.99,0,88.43,338.37,70.45,63.68,optimize_schedule,0.516,0.705,82.69
108,low,2,15,sequential,0.5,"(33, 43)","(96, 83)",178.78,3,233.63,358.54,79.81,57.64,increase_exploration,0.417,0.798,65.89
109,low,5,20,independent,0.28,"(41, 1)","(91, 54)",51.48,3,75.92,424.31,89.14,65.65,optimize_schedule,1.415,0.891,90.13
110,medium,5,18,sequential,0.42,"(48, 17)","(89, 80)",137.69,4,246.41,431.1,75.37,46.75,adjust_learning_rate,0.546,0.754,62.22
111,high,2,15,interdependent,0.49,"(44, 12)","(61, 86)",113.58,2,230.65,394.35,99.82,81.93,adjust_learning_rate,0.668,0.998,81.47
112,medium,1,16,sequential,0.33,"(3, 36)","(94, 85)",196.0,4,280.57,364.29,75.4,48.11,increase_exploration,0.527,0.754,61.8
113,medium,1,19,interdependent,0.13,"(29, 20)","(52, 53)",158.64,1,114.56,115.38,72.05,64.74,increase_exploration,0.254,0.72,71.64
114,medium,2,6,sequential,0.24,"(24, 14)","(90, 95)",86.81,1,291.81,134.0,87.93,80.25,increase_exploration,1.204,0.879,96.29
115,low,4,5,interdependent,0.13,"(31, 44)","(87, 94)",79.35,5,280.97,165.86,86.72,58.4,increase_exploration,0.946,0.867,68.07
116,high,5,17,sequential,0.36,"(20, 37)","(78, 58)",93.27,3,161.9,199.65,82.02,63.03,optimize_schedule,0.661,0.82,71.8
117,medium,5,10,sequential,0.34,"(17, 40)","(76, 70)",83.9,5,182.47,165.73,96.77,68.46,adjust_learning_rate,0.789,0.968,66.82
118,low,5,11,sequential,0.52,"(7, 3)","(80, 62)",174.8,2,215.38,254.67,80.48,65.39,adjust_learning_rate,0.537,0.805,74.27
119,medium,3,11,sequential,0.31,"(45, 32)","(99, 70)",75.19,1,268.47,174.37,62.44,53.95,adjust_learning_rate,0.878,0.624,83.38
120,medium,2,17,sequential,0.53,"(45, 12)","(69, 60)",193.95,3,159.21,150.3,65.78,47.77,increase_exploration,0.277,0.658,59.67
121,high,4,6,independent,0.38,"(45, 43)","(71, 91)",163.28,5,229.9,148.71,65.13,37.16,optimize_schedule,0.334,0.651,49.67
122,high,5,17,interdependent,0.78,"(29, 32)","(66, 65)",183.32,5,119.51,107.25,69.78,42.63,increase_exploration,0.27,0.698,49.29
123,medium,2,17,independent,0.8,"(15, 31)","(81, 84)",105.26,0,96.71,349.62,81.75,74.76,increase_exploration,0.804,0.818,91.6
124,low,2,8,interdependent,0.74,"(42, 24)","(97, 50)",184.11,5,72.11,232.03,85.04,55.4,adjust_learning_rate,0.33,0.85,54.0
125,high,3,14,sequential,0.54,"(24, 36)","(81, 66)",171.44,2,89.74,207.49,76.34,62.19,adjust_learning_rate,0.376,0.763,69.76
126,high,2,16,independent,0.51,"(30, 38)","(61, 100)",74.4,2,291.46,289.13,69.47,53.69,increase_exploration,0.932,0.695,80.6
127,low,5,12,interdependent,0.77,"(34, 9)","(68, 82)",171.9,0,252.63,321.97,76.05,69.61,optimize_schedule,0.468,0.76,82.84
128,high,3,20,sequential,0.27,"(14, 50)","(71, 91)",110.41,5,100.37,442.44,85.04,51.19,increase_exploration,0.636,0.85,60.8
129,low,2,16,sequential,0.52,"(31, 30)","(62, 91)",145.76,3,223.12,184.67,74.84,56.15,adjust_learning_rate,0.469,0.748,65.93
130,medium,4,15,interdependent,0.12,"(14, 49)","(50, 50)",115.03,0,182.82,253.29,99.66,94.59,increase_exploration,0.313,0.997,84.67
131,high,1,15,independent,0.7,"(25, 23)","(68, 59)",149.11,0,242.34,145.16,83.55,80.65,optimize_schedule,0.376,0.836,82.49
132,high,3,19,interdependent,0.44,"(24, 20)","(94, 96)",108.76,2,196.16,330.45,64.14,47.53,adjust_learning_rate,0.95,0.641,79.8
133,low,3,9,sequential,0.44,"(4, 5)","(68, 56)",132.02,3,109.54,143.58,61.67,43.8,adjust_learning_rate,0.62,0.617,66.38
134,medium,3,15,interdependent,0.31,"(28, 12)","(87, 97)",187.99,0,217.47,440.37,79.03,70.22,optimize_schedule,0.55,0.79,85.33
135,low,1,12,interdependent,0.27,"(19, 29)","(78, 63)",100.82,5,59.17,343.79,90.63,58.75,adjust_learning_rate,0.675,0.906,62.91
136,medium,2,13,sequential,0.76,"(40, 1)","(60, 64)",104.67,0,120.08,150.62,65.3,62.29,increase_exploration,0.631,0.653,84.09
137,high,3,19,independent,0.12,"(9, 13)","(73, 54)",89.92,5,138.94,270.33,61.36,30.95,optimize_schedule,0.845,0.614,60.2
138,high,4,6,sequential,0.6,"(19, 5)","(65, 60)",89.38,4,162.84,177.53,82.13,58.58,adjust_learning_rate,0.802,0.821,69.4
139,high,4,17,interdependent,0.14,"(48, 38)","(62, 68)",197.02,2,294.24,376.15,81.47,63.95,adjust_learning_rate,0.168,0.815,66.29
140,low,5,6,sequential,0.79,"(27, 12)","(59, 61)",137.69,3,253.47,461.43,91.3,67.07,adjust_learning_rate,0.425,0.913,68.62
141,medium,5,6,interdependent,0.72,"(1, 2)","(63, 80)",113.36,4,280.17,138.78,92.12,69.34,adjust_learning_rate,0.879,0.921,73.33
142,low,5,20,interdependent,0.71,"(44, 35)","(83, 96)",77.83,3,133.47,358.44,71.62,49.45,increase_exploration,0.93,0.716,75.47
143,high,1,10,interdependent,0.72,"(5, 21)","(90, 65)",175.98,5,94.58,357.28,84.2,52.05,adjust_learning_rate,0.544,0.842,58.58
144,low,1,10,independent,0.38,"(24, 25)","(91, 61)",133.73,2,77.93,409.56,68.16,49.97,adjust_learning_rate,0.569,0.682,72.24
145,low,4,10,sequential,0.65,"(18, 0)","(50, 64)",188.77,5,289.4,111.23,68.56,41.34,increase_exploration,0.379,0.686,51.44
146,high,3,5,independent,0.37,"(47, 48)","(87, 88)",156.22,0,289.01,284.87,86.01,80.31,adjust_learning_rate,0.362,0.86,82.71
147,medium,5,6,independent,0.14,"(6, 14)","(91, 60)",164.01,3,134.6,100.13,90.77,73.77,adjust_learning_rate,0.589,0.908,72.16
148,low,2,10,independent,0.35,"(19, 10)","(59, 81)",97.98,0,120.68,284.05,87.02,81.34,adjust_learning_rate,0.832,0.87,93.38
149,high,5,6,sequential,0.58,"(29, 18)","(78, 100)",165.36,4,218.11,162.63,85.0,61.75,adjust_learning_rate,0.578,0.85,65.07
150,medium,5,9,interdependent,0.39,"(24, 11)","(99, 69)",141.74,3,105.4,324.86,90.7,69.2,increase_exploration,0.669,0.907,73.91
151,low,4,11,interdependent,0.56,"(13, 2)","(68, 91)",108.97,2,50.43,468.34,98.21,78.84,increase_exploration,0.96,0.982,87.6
152,medium,2,20,independent,0.26,"(22, 19)","(69, 97)",149.14,0,58.74,303.66,88.68,82.61,optimize_schedule,0.611,0.887,88.84
153,medium,1,16,independent,0.67,"(26, 13)","(86, 72)",111.7,0,293.39,374.61,96.45,88.96,adjust_learning_rate,0.753,0.965,93.73
154,low,1,12,independent,0.17,"(23, 43)","(93, 85)",72.71,3,69.31,121.72,99.97,82.54,optimize_schedule,1.123,1.0,86.07
155,high,3,10,sequential,0.69,"(11, 22)","(55, 83)",51.11,0,139.74,470.48,75.22,65.81,increase_exploration,1.472,0.752,104.98
156,high,4,13,sequential,0.51,"(17, 22)","(72, 69)",108.9,3,55.58,451.38,78.39,54.36,adjust_learning_rate,0.664,0.784,71.07
157,low,4,10,independent,0.41,"(2, 0)","(68, 66)",190.41,1,248.51,321.56,61.24,49.81,increase_exploration,0.49,0.612,74.49
158,low,5,16,sequential,0.72,"(15, 7)","(97, 89)",198.1,5,133.7,460.84,90.08,55.86,adjust_learning_rate,0.585,0.901,60.8
159,medium,1,5,interdependent,0.27,"(5, 1)","(90, 79)",130.76,3,211.28,472.96,92.8,68.34,optimize_schedule,0.882,0.928,79.11
160,medium,1,17,sequential,0.65,"(10, 41)","(71, 79)",177.5,0,187.56,372.3,73.17,65.72,increase_exploration,0.405,0.732,80.82
161,high,1,15,sequential,0.51,"(19, 13)","(67, 89)",153.28,3,260.33,394.34,63.07,40.18,adjust_learning_rate,0.586,0.631,65.93
162,high,4,16,independent,0.5,"(1, 5)","(84, 81)",95.83,1,78.3,188.64,93.17,84.4,increase_exploration,1.174,0.932,96.8
163,medium,3,17,interdependent,0.74,"(6, 28)","(63, 93)",158.67,3,210.98,480.36,90.94,66.33,adjust_learning_rate,0.545,0.909,71.2
164,low,3,20,interdependent,0.16,"(19, 13)","(76, 92)",143.32,0,135.97,451.99,82.29,73.25,adjust_learning_rate,0.68,0.823,88.96
165,high,3,7,interdependent,0.71,"(31, 24)","(53, 54)",93.41,5,66.48,468.42,96.07,61.7,adjust_learning_rate,0.398,0.961,57.98
166,medium,4,20,sequential,0.15,"(33, 18)","(72, 93)",175.32,0,51.36,347.96,69.22,62.26,optimize_schedule,0.482,0.692,81.64
167,low,4,20,sequential,0.47,"(37, 17)","(79, 51)",102.37,0,179.12,384.65,69.03,61.34,increase_exploration,0.528,0.69,82.62
168,low,1,12,independent,0.34,"(24, 20)","(77, 51)",83.41,1,81.75,473.51,75.07,60.6,increase_exploration,0.736,0.751,83.04
169,high,1,14,interdependent,0.29,"(13, 40)","(67, 87)",115.87,2,121.48,310.25,89.31,73.11,optimize_schedule,0.618,0.893,78.02
170,high,3,11,independent,0.27,"(31, 24)","(57, 96)",109.25,4,242.22,354.98,93.95,66.85,optimize_schedule,0.701,0.94,69.8
171,low,1,17,independent,0.23,"(49, 27)","(64, 97)",56.47,1,271.15,345.11,74.6,62.7,increase_exploration,1.268,0.746,94.76
172,high,4,12,independent,0.3,"(45, 11)","(70, 68)",85.78,0,219.94,454.14,61.79,52.71,optimize_schedule,0.726,0.618,85.42
173,low,5,20,interdependent,0.65,"(28, 28)","(78, 72)",114.45,1,279.12,376.47,72.72,60.19,increase_exploration,0.582,0.727,79.09
174,high,5,17,independent,0.75,"(10, 36)","(95, 94)",102.96,2,203.81,108.36,75.97,63.8,adjust_learning_rate,0.999,0.76,83.53
175,high,3,16,sequential,0.24,"(13, 15)","(99, 96)",60.01,2,80.22,292.73,99.39,83.54,increase_exploration,1.969,0.994,110.29
176,medium,5,15,sequential,0.27,"(4, 34)","(51, 86)",74.52,2,66.18,315.58,96.89,80.58,increase_exploration,0.941,0.969,86.89
177,medium,5,18,sequential,0.23,"(7, 29)","(89, 58)",110.96,5,175.81,154.54,87.71,59.62,increase_exploration,0.784,0.877,64.69
178,high,3,9,independent,0.73,"(22, 22)","(84, 78)",172.23,5,220.62,304.66,91.73,60.64,increase_exploration,0.485,0.917,58.93
179,high,5,17,interdependent,0.13,"(31, 34)","(88, 100)",140.01,1,196.78,234.62,84.69,75.0,adjust_learning_rate,0.623,0.847,82.67
180,low,4,19,independent,0.13,"(20, 28)","(83, 82)",180.74,4,176.78,112.89,94.68,72.42,optimize_schedule,0.459,0.947,64.58
181,low,5,18,independent,0.22,"(50, 14)","(65, 98)",64.01,3,177.34,160.98,60.35,42.13,adjust_learning_rate,1.333,0.604,81.93
182,high,1,10,independent,0.27,"(18, 43)","(57, 74)",119.79,2,229.57,153.57,90.93,77.86,adjust_learning_rate,0.416,0.909,73.89
183,low,5,10,interdependent,0.71,"(40, 37)","(77, 53)",74.48,1,288.25,152.47,61.84,53.79,adjust_learning_rate,0.541,0.618,75.76
184,low,1,14,interdependent,0.2,"(21, 38)","(66, 50)",119.68,0,192.13,444.87,92.96,84.06,increase_exploration,0.389,0.93,84.87
185,low,4,16,sequential,0.75,"(8, 40)","(89, 52)",160.66,1,141.53,411.69,91.73,78.5,increase_exploration,0.51,0.917,81.71
186,medium,3,6,interdependent,0.75,"(32, 2)","(93, 86)",56.34,1,151.12,460.65,76.23,62.02,optimize_schedule,1.843,0.762,107.89
